review,target
"Go see this movie for the gorgeous imagery of Andy Goldsworthy's sculptures, and treat yourself to a thoroughly eye-opening and relaxing experience. The music perfectly complements the footage, but never draws attention towards itself. Some commentators called the interview snippets with the artist a weak spot, but consider this: why would you expand on this in a movie, if you can read Andy's musings at length in his books, or attend one of his excellent lectures? This medium is much more suitable to show the ephemeral nature of the artist's works, and is used expertly in this respect.",1
"The '60s is an occasionally entertaining film, most of this entertainment is from laughing at the film. It is extremely uneven, and includes many annoying elements. Take for instance the switch between black & white, and color. If done right, this could of been fairly effective, but because it was done poorly , it turned into a nuisance and only detracted from the already bad experience; much of the film had an odd feel to it. The acting wasn't extremely bad for a made for TV flick, but then again it was downright embarrassing at other times. Many of the events were not coherent, and ending up being confusing. How did this family somehow end up being at many of the big events during the 1960's? The ending was much too sappy for my tastes; because it was hollywoodized, everything had to turn out right in the end. I would advise you to not waste your time on The '60s and do something else with your time. I'm glad I watched this in class, and not on my own time. I think I can safely say that the best part of the movie was the inclusion of Bob Dylan's music. Those are just my rambling thoughts on the flick. I hope you take my advice, and stay away from this.",0
"David Beckham is a British soccer star and the husband of Victoria Beckham (""Posh Spice"" of the Spice Girls). His trademark is a goal shot that curves across the pitch and into the net. The soccer equivalent of an unhittable curve ball in baseball. ""Bend it like Beckham"" means making that type of spectacular shot. Apart from that, and a little shrine to him in the main character's bedroom and a faux-cameo at the very end, the movie has nothing to do with him.<br /><br />The movie is full of little soccer in-jokes, such as the present that one of the characters' parents give her of a jersey with the number 9 on it (property of the great Mia Hamm, to those in the know), references to ""Posh 'n' Becks,"" the video homage to the WUSA one of the characters plays for a disbelieving friend (""They *have* that??""), lesbian gags, sports-bra gags, and so on.<br /><br />The story is about a teenage girl in England who idolizes Beckham and wants to be a soccer star. She has a real gift, but the two seemingly insurmountable obstacles she must overcome are the absence of a professional women's league in the UK (hence their fascination with our WUSA), and her parents, who are Indian immigrants set in very old-fashioned ways that do not allow daughters, among other things, to engage in contact sports. The girl's family are portrayed as figures of ironic fun, but with great affection -- think My Big Fat Greek Wedding. The girl loves and respects them enough to go through sitcom hell to conceal her growing soccer stardom from them.",1
"For years we've been watching every horror film that comes out, from the dull Hollywood retreads like Saw 2, to awful indie releases that are completely unmatchable... we suffer through all of bad films in hopes of finding little gems like ""Dark Remains"".<br /><br />We managed to catch a screening of this film at Shriekfest 2005. The audience loved it and I believe it ended up winning the award for the best film.<br /><br />While it may not have the budget or star power of studio films, it packs a serious punch in the creepy atmosphere and scare category. The acting and cinematography are top notch, but it's the direction that makes this film worth the view. The story and characters develop at just the right pace to provide some fantastic scares.<br /><br />The editing and visual fx are also top notch. And while many horror films don't manage to use music to their benefit, the score for ""Dark Remains"" only adds to it's creepiness.<br /><br />I know the film has shown at a bunch of festivals, but none have been near me, so I can't wait to hear when it'll finally be coming out on DVD. Trust me, even if you're sick of the current state of horror films, give this one a try... you won't regret it!",1
"An excellent example of ""cowboy noir"", as it's been called, in which unemployed Michael (Nicolas Cage) loses out on a job because he insists on being honest (he's got a bum leg). With really nothing else he can do, he decides that for once he's going to lie. When he walks into a bar, and the owner Wayne (the late, great J.T. Walsh) mistakes him for a hit-man whom Wayne has hired to do in his sexy young wife Suzanne (Lara Flynn Boyle in fine form), Michael plays along and accepts Waynes' money. *Then* he goes to Suzanne and informs her of her husbands' intentions, and accepts *her* money to get rid of Wayne! If that didn't complicate things enough, the real hit-man, ""Lyle from Dallas"" (Dennis Hopper, in a perfect role for him) shows up and Michael is in even more trouble than before.<br /><br />""Red Rock West"" gets a lot out of the locations. Director John Dahl, who co-wrote the script with his brother Rick, was smart in realizing the potential of a story set in a truly isolated small town that may have seen better days and in which the residents could be involved in any manner of schemes. It's also an amusing idea of the kind of trouble an honest person could get into if they decided to abandon their principles and give in to any level of temptation. It's an appreciably dark and twist-laden story with an assortment of main characters that are if not corrupt, have at least been morally compromised like Michael. The lighting by cinematographer Marc Reshovsky is superb in its moodiness; even the climax set in a graveyard lends a nice morbid quality to the whole thing. Even if the writing isn't particularly ""logical or credible"", the film has a nice way of intriguing the viewer and just drawing them right in.<br /><br />Cage does a good job in the lead, but his co-stars have a grand old time sinking their teeth into their meaty and greed-motivated characters. Hopper, Boyle, and Walsh are all fun to watch in these parts. Timothy Carhart and Dan Shor are fine as Walshs' deputies (in one especially good twist, Walsh is also the local sheriff), and there's an entertaining cameo role for country & western star Dwight Yoakam, who also graces the film with an enjoyable end credits tune.<br /><br />It's quite a good little film worth checking out. It moves forward at an impressive pace, and if nothing else is certainly never boring.<br /><br />8/10",1
"Having just watched this film again from a 1998 showing off VH-1, I just had to comment.<br /><br />The first time I saw this film on TV, it was about 1981, and I remember taping it off of my mother's betamax. It wound up taping in black and white for some reason, which gave it a period look that I grew to like.<br /><br />I remember very distinctively the film beginning with the song, ""My Bonnie"", as the camera panned over a scene of Liverpool. I also remember the opening scene where Paul gestures to some girls and says, ""Look, talent!"" So it was with great irritation that I popped in my 1998 taped version and ""remembered"" that the film opens with ""She Loves You"", instead of ""My Bonnie"". When you see how slowly the camera pans vs. the speed of the music, you can see that ""She Loves You"" just doesn't fit. Also, in this ""later"" version when Paul sees the girls, he says, ""Look, GIRLS!""..and somehow having remembered the earlier version, THAT word just didn't seem to fit, either. Why they felt they had to Americanize this film for American audiences is beyond me. Personally, if I'm going to watch a film about a British band, I want all of the British colloquialisms and such that would be a part of their speech, mannerisms, etc.<br /><br />Another irritation was how ""choppy"" the editing was for television. Just after Stu gets beaten, for example, the film cuts to a commercial break-LOTS of 'em. Yeah, I know it depends on the network, but it really ruins the effect of a film to have it sliced apart, as we all know. What some people might find as insignificant in terms of dialogue (and thereby okay to edit), may actually go the way of explaining a particular action or scene that follows.<br /><br />My point is, the ""best"" version of this film was probably the earlier version I taped from 1981, which just so happened to include the ""Shake, Rattle & Roll"" scene that my 1998 version didn't. I started to surmise that there had to have been two different versions made for television, and a look at the ""alternate versions"" link regarding this film proved me right. That the American version had some shorter/cut/different scenes and/or dialogue is a huge disappointment to me and something worth mentioning if one cares about such things. Imo, ones best bet is to try and get a hold of the European version of this film, if possible, and (probably even less possible), an unedited version. Sadly, I had to discard my old betamax European version because I didn't know how to convert it.<br /><br />All that aside, I found this film to be, perhaps, one of the best films regarding the story behind the ""birth of the Beatles"". Being well aware that artistic and creative license is often used in movies and TV when portraying events in history, I didn't let any discrepancies mar my enjoyment of the film. Sure, you see the Beatles perform songs at the Cavern that made me wonder, ""Did they even write that back then?? I don't think so"", but, nevertheless, I thought it was a great film and the performances, wonderful.<br /><br />The real stand-out for me, in fact, was the actor who played John, Stephen MacKenna. I just about fell in love with him. His look, mannerisms, personality and speaking voice seemed to be spot-on. He looked enough like a young John for me to do a double-take towards the end of the film when you see the Beatles performing on Ed Sullivan for the first time. I actually found myself questioning whether or not it was actual Beatle footage, until I saw the other actors in the scene.<br /><br />If you're looking for a dead accurate history of The Beatles' life and beginnings, you can't get any better than, ""The Beatles' Anthology"", as it was ""written"" by the boys', themselves. However, if you're looking for a fun snapshot of their pre-Beatlemania days leading up to their arrival in America and you leave your anal critical assessments at the door, you can't go wrong with the ""Birth of the Beatles""--a MUST for any ""real"" or casual Beatle fan.",1
"Outrageously trashy karate/horror thriller with loads of graphically gory violence and gratuitous nudity, and a thoroughly preposterous and bizarre ""plot"". This is lowbrow and low-grade entertainment that will appeal only to viewers with particularly kinky tastes, but it's kind of cheerfully bad and I must admit that I wasn't actually bored while watching it.... (*1/2)",0
"really excellent movie, one of the best i've seen. Touching and simple - just like life, sometimes you cry sometimes you laugh and it's just beautiful. not too much of anything, just as it's suppose to be. Really loved the idea of the movie, noone is bad or good, all or just people, sometimes make mistakes mostly because of society's pressure, everyone tries to stay strong and some succeed more than others and the most important thing is that you don't have reasons to get angry - you can do it, but eventually the anger goes away and then you to need to let love come back in although it's hard, there lies the true happiness.<br /><br />Great actors and cast, the movie really gets you into the feeling of the movie.<br /><br />nice nice nice.<br /><br />I recommend to see it, especially if you like to see italians' life...",1
"It takes patience to get through David Lynch's eccentric, but-- for a change-- life-affirming chronicle of Alvin Straight's journey, but stick with it. Though it moves as slow as Straight's John Deere, when he meets the kind strangers along his pilgrimage we learn much about the isolation of aging, the painful regrets and secrets, and ultimately the power of family and reconciliation. Richard Farnsworth caps his career with the year's most genuine performance, sad and poetic, flinty and caring. And Sissy Spacek matches him as his ""slow"" daughter Rose who pines over her own private loss while caring for dad. Rarely has a modern film preached so positively about family.",1
"What can you say about the film White Fire. Amazing? Fantastic? Disturbing? Hilarious? These words are not big enough to describe the event which is White Fire. From wobbly, garbled beginning to profound end, this movie will entertain throughout.<br /><br />Our movie begins in the woods of a country somewhere in the world. A family is hiding from unmarked soldiers in costume shop uniforms. When the father separates from the mother and their childen, you get a real sense of what kind of movie you're about to watch. Father makes sure to roll down hills in his all white outfit, and is polite as he gets people's attention before he shoots them, but alas, dad is burned alive in what looks like a very unsupervised, unsafe stunt. Meanwhile, mom and the kids are running down a beach with an armed soldier trailing about 5 feet behind them. He too gives a stern warning before action in the form of a bizarre ""HALT!"", and then promptly wastes the mother. This action sequence sets up the happy childhood of our heroes Bo and Ingred.<br /><br />So now we fast forward about 20 years (30 if you're honest about the hero's age) to beautiful Turkey, where Bo and Ingred have settled as professional thieves, or diamond prospectors, or something. Ingred works at a diamond mine where she helps herself to the goods, while Bo (masterfully played by the dynamic Robert Ginty) drives around the desert in his denim outfits. Bo and Ingrid have an interesting relationship. They don't seem to have any friends other than each other, and they spend all of their time together. That coupled with the fact that Bo has expressed his desire to sleep with his sister as evidenced in lines such as ""you know its a shame you're my sister"" he says to her while she's stark naked, make for a very dynamic duo. Bo is then crushed when Ingrid is killed, as he wanders the beaches of Turkey with his ceremonial pink grief scarf. A renewal of hope occurs when Bo finds a girl who looks like Ingrid, and gives her plastic surgery to make her look exactly like Ingrid. This opens the door for Bo to have sex with his sister without it being technically wrong. Bo is a real fan of ethical grey areas, and he is overjoyed with his new love.<br /><br />So anyway, there's a lot of fun action scenes, ridiculous violence, great acting, impossible to follow plot-lines, Fred ""the hammer"" Williamson (for some reason), and a big chunk of dirty ice which is supposed to be a giant diamond (which later explodes). All of these things are great, but the Bo and Ingrid relationship is what makes this movie special....really special. So I heartily encourage everyone to behold the majesty that is White Fire. You may be glad you did..or not.",1
"Overall the film is OK. I think it's better than Sepet and much better than Gubra in term of its story, its sentimental value.<br /><br />There are a few scenes that makes me touched. Yes I agree that the boy (Mukhsin) did his acting very good. Brilliant. I can say that his acting is almost natural.<br /><br />However, the song 'Ne Me Quitte Pas' by Nina Simone really ""'menaikkan' my 'bulu' 'roma' "".<br /><br />I love the song. Both the song. ""Ne Me Quitte Pas"" and ""Hujan"". I just downloaded the song. Beautiful.<br /><br />And salute to Yasmin. The movie's ending credit makes me touched again. We can see how Yasmin really appreciated her parents in an unique way.<br /><br />I think the movie deserves that Grand Prix Of International Jury at Berlin Film Festival.<br /><br />I give 8.5 out of 1o stars.",1
"This is one of the best animated movies I've ever seen in my life. This isn't just a fun movie, or a well-made movie. This is a landmark in the art of animation and even if it weren't, just the technical skill that went into making it, would grant it a place in the history of animation.<br /><br />Wladyslaw Starewicz created a stop-motion movie about the secret life of beetles. He imagined a coherent world of insects, with jobs, houses, nightclubs, movie houses, even little props like posters and bicycles and paintings.<br /><br />In this movie he tells a simple tale of hypocrisy and revenge. Mr. Beetle has an affair with a dancing dragonfly, much to the chagrin of a grasshopper; but he's a cameraman and decides to shoot the fling. Mr. Beetle returns home and finds Mrs. Beetle having her own affair. Mr. Beetle chases the lover away but forgives his wife. The two make up and go out to the movies. And the movie they watch is Mr. Beetle and the Dragonfly. Described thus it sounds banal, but once seen it becomes a gripping work of cinema. Along with Emile Cohl and Jiri Trnka, Wladyslaw Starewicz pretty much invented everything that future animators would use in their work. For that reason he must not remain forgotten.",1
"I loved This Movie. When I saw it on Febuary 3rd I knew I had to buy It!!! It comes out to buy on July 24th!!! It has cool deaths scenes, Hot girls, great cast, good story , good acting. Great Slasher Film. the Movies is about some serial killer killing off four girls. SEE this movies",1
"Sammi, Curr a metal rock god, they tried to stop him, they tried to ban him, the tried to censor his music!! (much like the real life Dee Snider, from Twisted Sister,[Tipper Gore] or Ozzy Osborne) Killed in a fire, Sammi Cure was suppose to play on halloween at his old high school for a dance.. Now Eddie Weinbauer , his #1 fan, and the only one who knew how sammi was, and what he felt (or did he?) Nuke, the d.j. at the local radio station (Gene Simmons) has and gives the only copy of Sammi's last record Eddie.. But when Eddie tries to play the record backwards, he finds Sammi talking to him from the dead, and telling him what to do to get back at the bullies at his school that hate him and his music.. Everything works out until, Sammi starts to kill!! A great movie and must see for heavy metal hairband fans, with a great sound track by Fastway, and just in case you don't know what The songs sound like or know Fastway and doesn't like them, they changed there voice a bit and there style as well to sound like the more known Cinderella, or Ratt.. Is the movie a true horror movie? Well that depends on what you call a horror movie, To me a true horror movie is a slasher, with lots of killing, or just plain be scary.. This movie is neither, not enough deaths, but it can't be called a action, comedy, drama, suspense, or thriller, so that is why I would guess it has to be a horror.. So if you wanna ""Rock N' Roll, Rockin' on the mid night steel your soul!!"" Than Sammi Curr and Trick or Treat is the for you.. I mean ""what are you afraid of? It's only Rock 'N' Roll!?!""",1
"Going for something far away from the deliberately gross stuff that he usually makes, John Waters (happy birthday, John!) made this parody of the celebrity/art world. Edward Furlong plays the title character, a working-class teenager in Baltimore who loves to photograph things. When a New York agent (Lili Taylor) discovers his work, she offers him his big break, which he accepts. But once he hits it big, he has to reconsider everything.<br /><br />Basically, ""Pecker"" looks at how he loses his friends and his normal life once he becomes a celebrity. The sort of thing that we might expect, sure, but with Waters directing, there's always a few things to shock us (you'll know them when you see them). I certainly recommend it. Also starring Christina Ricci, Mink Stole and Patty Hearst.",1
"I happened to catch this film at a screening in Brooklyn - it's difficult to describe the plot; it has a lot of wacky characters, but let's just say I'd have a hard time choosing which one made me laugh the hardest, I wouldn't know where to begin. Even the peripheral roles are well written and well acted.<br /><br />There are numerous small touches that make it unique and very enjoyable, it has a few ""devices"" that pop up and add another hilarious layer. It is refreshing to watch; not some recycled stuff I'd seen many times before. If this film could reach a wider audience, I'm certain it would be a real crowd-pleaser, the story is so original and heartfelt.<br /><br />There's a lot here to like, funny back-stories, mishaps and misunderstandings which set up the final act and dramatic conclusion. Cross Eyed is a very funny movie with a ton of heart; it's a touching story with fast paced comedy woven throughout. Definitely worth seeing!",1
"THE FOX AND THE CHILD is the latest film from MARCH OF THE PENGUINS filmmaker Frenchman Luc Jacquet. The movie, which boasts just one human being in its cast, young actress Bertille Noël-Bruneau, tells the story of the rather rare, though seemingly believable relationship between a child and a wild fox.<br /><br />Part-nature documentary, and part-fairy tale, the film focuses on L'Infant, the child, who on her way to school one day comes across the path of a wild fox in a picturesque setting, possibly France, though the exact location is never mentioned. Over the coming weeks the child revisits the place where she found her fox hopeful that one of said days she will see said fox, who she begins to call Lily, once again. And so it goes on. Days turn to weeks, and then the summer disappears, turning to fall and then winter, promting some superb cinematography of the sweeping, white winter landscape. Eventually, spring comes around again, and the young child finds her fox, and indeed does strike up a friendship with the animal. And so on.<br /><br />I had little to no expectation for THE FOX AND THE CHILD. I had seen MARCH OF THE PENGUINS and was simply in awe at the film-making contained in that movie. Luc Jacquet is a hugely talented, and indeed rare film-maker, and I was expecting some superb, breathtaking cinematography, sweeping vistas and brilliant footage of the wildlife. This was delivered in spades. But here Jacquet has a screen writing credit, and not knowing anything about the movie prior to the screening, I expected something a little different than what had previously been seen in 'March'. A fictional story.<br /><br />The child and the fox And the story is simple. A young, seemingly lonely child lives in a house in the middle of nowhere and walks to school, seemingly on her own, every day, seemingly without a care in the a seemingly perfect world. Without the hint of an adult in sight. Brilliant. So she strikes up a friendship with a fox.<br /><br />With a film like this, you have to dismiss your own opinion of the movie and put yourselves in the shoes of the target audience. This is a film which is aimed directly at children from the age of, I'd say, six and up. Or to families who fancy a trip to the cinema with their breed one wet Sunday afternoon. Not a 31-year-old male who gets his kicks from films like the recent, brilliant WANTED and the like. But, me being the newbie London critic, I put myself in the shoes of an excited eight-year old girl for the 95 or so minutes of THE FOX AND THE CHILD. Now, I have a few problems with this film. As a 31-year-old lad, and loyal lover of all things cinematic, I loved the wildlife and landscape photography. It's visually stunning. The direction of the animal characters is brilliantly executed -- as good as you will find on any of Attenborough's efforts. As an impressionable, short attention spanning eight year old, I loved about the first half hour -- then I lost interest. It's a little repetitive and in places quite harrowing and bloody scary for a younger child, particularly the rather dark ending. As a 31-year-old male -- I was a little frightened in places. Wuss.<br /><br />So, it's not a child's film. It's not really an adult film and I felt a little let down. Is it a good family film. Depends. It's educational maybe, and the film carries a message. It's definitely not a film I would pay the hard earned green to go see and I'm racking my brains to try and recommend it to a certain type of film goer. It's hard, but I know some will go see and fall in love this film. It's very European in feel and certainly if you are a fan of wildlife themed flicks, give it a try. Unsure? Well I'd wait for the DVD for a wet Sunday afternoon in then. -- Paul Heath, http://www.thehollywoodnews.com, July 2008.",1
"Cecil B. deMille's 1922 parlor-to-prison tearjerker Manslaughter finds the lovely Leatrice Joy as a good-at-heart but decadent young lady with more money than she knows what to do with. Her recklessness leads to imprisonment, which in turn leads to her regeneration. Thomas Meighan is the crusading district attorney who has made it his personal crusade to bring out the goodness and wholesomeness in Lydia (Joy) but he gets sidetracked by alcohol and once she is released, it is up to her to rescue him!<br /><br />If the plot doesn't sound too bad, you'll be floored by the woeful presentation. The quality of deMille's direction is very low, and he does not show any particular skill that is unique to him. The photography is standard and flat, and the editing is hardly more dynamic. One could easily classify it as a fashion show and be pretty correct. DeMille gets to dress Miss Joy up in so many different types of clothes (evening gowns, golfing costumes, motoring costumes, piles of furs) that it's subtitle could be 'Fashions of 1922'<br /><br />One thing more disappointing than the photography or editing or the direction is the acting, which is mostly flat and wooden. When it is not, it is merely routine silent gesturing, rolling eye balls, twitching eye brows and deliberate pointing and arm movements. What would have been enlivened for modern viewers by mugging and scene chewing of some of the worst silent films, is here merely dull to watch. The only member of the cast who succeeds in any form of excellence is Lois Wilson, who is not only beautiful but is able to play her role naturally. She is convincing and endearing in tearful close-ups, as long as you don't read the moralizing title card that follows once she opens her mouth to speak. Like I said, everybody else is droningly routine, Joy, Meighan, even Julia Faye. Her performance here makes a good argument for why she never attained true stardom.<br /><br />The worst and most amusing part of this movie is the heavy moralistic tone that carries through all of it. Meighan's character has plenty of intertitles where he drones on about how the youth of America is declining in it's moral stance, and going right back to the decadence of Rome. (insert absurd flashback) This movie's moralizing has been described as Victorian, but it's further than that. It has so little bearing in reality that I have a feeling audiences at that time didn't take it any more seriously than modern viewers could.<br /><br />This movie is exactly what the unknowing tend to think of as a 'typical' silent movie, with it's archaic moral structure, wooden acting and bad direction. DeMille shows that he could be a terrible director, with no sense of pacing, camera placement, or skill in handling either script or actors. I can't imagine anybody in their right mind taking it seriously. Boring, slow and idiotic, I recommend it to hardcore silent movie dorks like myself only.",0
"A wonderful surprise of the Spanish cinema. I never thought Jordi Molla could be such a great director, after all, I really don't care much for his choice in movies. However this film was absolutely fantastic and not predictable at all... something I ALWAYS enjoy! It hasn't enjoyed much good press and I really don't think it'll ever be released in the US market. We'll have to content ourselves with the DVD or VHS if even that... I don't want to say much about the story because I don't want to spoil it for you but basically the movie is about a homeless drunk who becomes the new messiah just for kicks and to get some money out of it (like sooooooooooo many), before he knows it he is immerse in a life he was not counting on.",1
